"TSTEP","MONTH","YEAR","EUP_ces85","COP_ces85","MZP_ces85","PhL_ces85","PhS_ces85"
492,12,2046,-0.43725979424739,-0.728638662174535,-0.425243309158587,0.0331390344032754,-0.550785756108603
493,1,2047,-0.641692574059724,-0.828042818660444,-0.581452687903109,0.402877093242831,-0.754091132841361
494,2,2047,-1.65956011014131,-1.47237030927201,-0.495183741236528,0.307920187926245,-0.210252537641675
495,3,2047,-0.323736667335671,-0.406043577248567,0.0373598012930731,0.119573190755651,-0.168875693035187
496,4,2047,-0.0542360983761971,-0.16001576232027,-0.329712178789938,0.184920114361262,-0.190603833320424
497,5,2047,-0.0100491291503516,-0.12408702585028,-0.128958625505545,0.310674117828214,-0.256872736324331
498,6,2047,0.298584399509928,0.161581949813168,-0.0421278192333115,-0.0520647412951266,-0.126874259369234
499,7,2047,-0.0334941604254313,-0.327633643705781,-0.122488543459399,-0.0423308320219465,-0.0358096527289778
500,8,2047,0.0338966921261139,-0.390111976641123,0.0103309052295244,0.395831496036439,0.119977833324505
501,9,2047,0.358128110562906,-0.226978103883566,0.022771615736755,0.148423396404674,0.286727843932297
502,10,2047,0.096019353602173,-0.378105641805726,0.11431412602339,-0.118286956956813,0.540274676198489
503,11,2047,0.141553418873719,-0.362674753316814,0.2006448961596,0.818428436495664,0.720187728347757
504,12,2047,1.18988135756048,0.172450124637374,0.807327612686818,0.674321220248934,2.00860168337652
505,1,2048,1.8849348791119,0.596685103598178,1.9018444157139,-0.479658689916083,6.42419154128825
506,2,2048,6.38690294666997,3.36051944535172,1.86437966416226,-0.576277429996595,1.02368935279716
507,3,2048,0.462732505323871,0.655421960556156,0.25055530675968,-0.141878498257708,-0.0857524250859641
508,4,2048,-0.0230413667673268,-0.131652899457201,0.237742148616804,-0.0147674728454016,-0.107284167490307
509,5,2048,0.247449723685107,0.335182844680366,0.0666045120564389,-0.110103511672928,-0.123812338967152
510,6,2048,-0.358907465406611,-0.436729611644834,-0.0589639379865514,-0.250084974621967,-0.149676321637402
