Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Disc.offal,PelDetFate,BenthDetFate,F_Trawl,F_Codpot,F_Longline,F_Halibut,F_Crabpot,F_Salmon,F_Herring,F_Indigenous,F_Subsistence,Disc_Trawl,Disc_Codpot,Disc_Longline,Disc_Halibut,Disc_Crabpot,Disc_Salmon,Disc_Herring,Disc_Indigenous,Disc_Subsistence
Eelpouts,0,2.371533,0.4,2,,,0,0.2,,0.02,0.392,0.588,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0
Deep.demersals,0,0.9761934,0.1504146,2,,,0,0.2,,0.02,0.392,0.588,3.23E-05,1.91E-08,4.07E-06,0,0,0,0,0,0,0.000824649,6.98E-06,3.42E-03,0.00E+00,0,0,0,0,0
POP,0,0.1666428,0.1,2,,,0,0.2,,0.02,0.392,0.588,0.008301876,4.13E-08,6.83E-06,0,0,0,0,0,0,0.001948532,7.70E-09,8.94E-06,3.90E-06,0,0,0,0,0
Oth.rockfish,0,0.01788876,0.1128943,1.61317,,,0,0.2,,0.02,0.392,0.588,0.000312428,9.96E-07,2.26E-04,0,0,0,0,0,0,0.000306692,1.54E-06,1.07E-04,1.56E-05,0,0,0,0,0
North.rockfish,0,0.02792531,0.1,2,,,0,0.2,,0.02,0.392,0.588,0.00134212,1.85E-08,4.17E-05,0,0,0,0,0,0,0.000398706,1.53E-07,2.09E-05,3.90E-06,0,0,0,0,0
Shortraker.rock,0,0.009492034,0.1,2,,,0,0.2,,0.02,0.392,0.588,2.22E-04,7.00E-10,2.14E-05,0,0,0,0,0,0,2.60E-09,0.00E+00,1.10E-09,3.90E-06,0,0,0,0,0
Rougheye.rock,0,0.003686704,0.1,2,,,0,0.2,,0.02,0.392,0.588,0.000139887,0.00E+00,1.26E-05,0,0,0,0,0,0,1.70E-09,0,7.00E-10,3.90E-06,0,0,0,0,0
Atka.mackerel,0,0.1439738,0.7496985,7.292317,,,0,0.2,,0.02,0.392,0.588,2.03E-03,9.67E-08,1.65E-07,0,0,0,0,0,0,0.002725873,8.06E-05,3.00E-04,0,0,0,0,0,0
Shallow.demersals,0,2.305576,0.4,2,,,0,0.2,,0.02,0.392,0.588,1.12E-05,1.04E-08,8.31E-08,0,0,0,0,0,0,3.56E-05,5.96E-08,1.51E-07,0,0,0,0,0,0
Lg.Sculpins,0,0.5403231,0.4,2,,,0,0.2,,0.02,0.392,0.588,0.000561759,2.12E-06,9.62E-06,0,0,0,0,0,0.00E+00,0.007474228,0.00037562,0.001520677,2.40E-05,0,0,0,0,0.00E+00
Octopi,0,0.192476,0.8,3.65,,,0,0.2,,0.02,0.392,0.588,3.42E-05,4.27E-05,2.98E-06,0,0,0,0,0,0,0.000130034,6.73E-05,3.13E-05,0,0,0,0,0,0
Squids,0,0.9269976,3.2,10.67,,,0,0.2,,0.02,0.392,0.588,4.55E-04,0,0,0,0,0,0,0,0,8.75E-04,1.71E-07,1.97E-08,0,0,0,0,0,0
Salmon.returning,0,0.1637697,1.65,11.6,,,0,0.2,,0.02,0.392,0.588,0.00E+00,0,0,0,0,0.1691467,0,0,2.01E-06,5.00E-04,0,0.000000799,0,0,0.000169147,0,0,2.01E-06
Salmon.smolts,0,0.0141972,1.28,13.56,,,0,0.2,,0.02,0.392,0.588,0.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0
Mycto.bathy,0,0.9878615,0.8,3.65,,,0,0.2,,0.02,0.392,0.588,2.32E-07,0,0,0,0,0,0,0,0,2.00E-07,1.10E-09,0.00E+00,0,0,0,0,0,0
Capelin,0,1.244671,0.8,3.65,,,0,0.2,,0.02,0.392,0.588,1.24E-08,0,0,0,0,0,0,0,0,4.00E-10,0,0,0,0.00E+00,0,0,0,0
Sandlance,0,2.527658,0.8,3.65,,,0,0.2,,0.02,0.392,0.588,4.00E-10,0,0,0,0,0,0,0,0,4.44E-08,0,0,0,0.00E+00,0,0,0,0
Other.forage,0,2.101746,0.8,3.65,,,0,0.2,,0.02,0.392,0.588,5.97E-05,0,0,0,0,0,0,0,0,5.80E-05,0,1.02E-08,0,0,0,0,0,0
Bairdi,0,0.5218537,1.601436,3.092486,,,0,0.2,,0,0.1,0.9,0.00E+00,0.00E+00,0,0,0.04742743,0,0,0,0,0.001756594,1.26E-04,4.56E-06,0,4.74E-05,0,0,0,0
King.Crab,0,0.2383894,0.6585861,3.206973,,,0,0.2,,0,0.1,0.9,0,0,0,0,0.0188018,0,0,0,0,0.000579186,0.000201107,0.000001205,0,1.88E-05,0,0,0,0
Opilio,0,2.178832,1.295101,3.117084,,,0,0.2,,0,0.1,0.9,0.00E+00,0.00E+00,0.00E+00,0,0.3006897,0,0,0,0,0.006480378,2.34E-05,3.54E-05,0.00E+00,3.01E-04,0,0,0,0
Pandalidae,0,6.742452,0.5756463,2.40941,,,0,0.2,,0,0.1,0.9,2.25E-07,1.00E-10,0.00E+00,0,0,0,0,0,0,0.000001988,8.00E-10,2.00E-10,0,0,0,0,0,0
Ben.zooplankton,0,35.88467,4.903836,23.86272,,,0,0.2,,0,0.109208,0.890792,0,0.00E+00,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0
Motile.epifauna,0,9.880033,1.09007,5.450353,,,0,0.2,,0,0.1,0.9,4.22E-05,1.24E-07,2.61E-07,0,0.000345577,0,0,0,0,0.0065159,3.02E-05,3.16E-04,1.66E-06,3.46E-07,0,0,0,0
Structural.epifauna,0,0.7812894,2.138958,10.69479,,,0,0.4,,0,0.1,0.9,8.60E-06,1.03E-08,1.51E-07,0,0,0,0,0,0,0.002326756,3.87E-07,0.000236082,0,0,0,0,0,0
Infauna,0,87.22993,1.754323,8.771614,,,0,0.4,,0,0.1,0.9,0,2.33E-08,0,0,0,0,0,0,0,0,3.57E-08,7.55E-08,0,0,0,0,0,0
Jellyfish,0,1.111806,4.078363,11.8001,,,0,0.2,,0,0.4,0.6,0.003364752,2.44E-08,0,0,0,0,0,0,0,0.01524614,6.83E-06,1.83E-05,0,0,0,0,0,0
Pel.zooplankton,0,2.643303,3.567297,10.19228,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphausiids,0,17.83103,5.475,15.64286,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copepods,0,26.85738,6,27.74,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelagic.microbes,0,45,36.5,104.2857,,,0,0.25,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic.microbes,0,22.06101,36.5,104.2857,,,0,0.25,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
